YEAR,STATE,Residential_Sales,Residential_Price,Commercial_Sales,Commercial_Price,Industrial_Sales,Industrial_Price,Total_Sales,Total_Price
1989,NV,5168925,5.73,3671910,6.02,5503598,4.43,14967995,5.26
1988,NV,4968159,6.01,3488871,6.03,4684581,4.43,13684291,5.4
1987,NV,4536524,5.82,3267495,5.88,4479991,4.25,12753584,5.22
1986,NV,4096958,6.59,2981885,6.54,4103229,4.61,11654207,5.8
1985,NV,4125647,6.41,2917608,6.34,3807867,4.48,11427129,5.6
1984,NV,4055477,5.97,2746622,6.11,3736827,4.31,11064434,5.32
1983,NV,3661515,6.28,1953851,6.67,4849446,4.68,10464812,5.61
1982,NV,3782254,5.91,1905992,6.32,4880045,4.32,10568291,5.25
1981,NV,3501085,4.94,2035471,5.87,4777028,3.76,10313584,4.58
1980,NV,3697000,4.85,1775000,5.25,4936000,3.97,10408000,4.5
1979,NV,3767000,3.84,2183000,3.98,4390000,3.04,10340000,3.53
1978,NV,3369000,3.63,2911000,3.88,2616000,2.6,8896000,3.41
1977,NV,2922482,3.45,2517545,3.55,2591952,2.43,8031979,3.15
1976,NV,2797017,3.06,2548867,3.15,2396903,2.09,7742787,2.79
1975,NV,2803203,2.57,2876284,2.73,1963642,1.44,7643129,2.34
1974,NV,2800291,2.06,2736499,2.19,2184603,1.46,7721393,1.94
1973,NV,2739259,1.66,2674724,1.82,2025510,1,7439493,1.54
1972,NV,2444042,1.64,2464130,1.78,1828402,0.82,6736574,1.47
1971,NV,2250541,1.53,2221166,1.66,1583903,0.77,6055610,1.38
1970,NV,1989547,1.52,2068586,1.62,1635288,0.73,5693421,1.33
2021,NV,14373357,11.49,12293815,7.77,12359543,6.02,39032042,8.58
2020,NV,14321607,11.34,11983740,7.45,11924592,5.61,38233899,8.33
2019,NV,12867637,12,11681186,8.04,12425536,6.14,36982386,8.78
2018,NV,13449743,11.85,12123896,7.74,12198273,6.1,37780263,8.67
2017,NV,12936791,11.99,11122755,7.96,12589549,6.15,36657786,8.76
2016,NV,12691942,11.41,9929076,7.93,13515234,5.88,36144630,8.39
2015,NV,12338538,12.76,9613997,9.25,14058811,6.75,36019690,9.48
2014,NV,11916521,12.93,9418091,9.47,13732695,7.12,35075606,9.73
2013,NV,12142431,11.89,9301939,9.01,13758569,6.52,35211215,9.03
2012,NV,12122718,11.83,9314611,8.83,13734461,6.48,35179918,8.95
2011,NV,11493279,11.61,8995162,9.05,13419961,6.65,33916479,8.97
2010,NV,11614669,12.36,8969727,9.79,13179708,7.37,33772595,9.73
2008,NV,12060515,11.93,9303932,10.07,13819778,7.98,35192496,9.89
2007,NV,12390180,11.82,9352037,10.09,13892692,8.28,35643402,9.99
2006,NV,11978120,11.08,8975373,10.12,13624581,8.03,34586260,9.63
2005,NV,11079816,10.2,8515904,9.48,12896931,7.71,32500630,9.02
2004,NV,10672590,9.69,8275330,9.08,12364386,7.24,31312306,8.56
2003,NV,10339935,9.02,8167940,8.79,11623785,7.3,30131660,8.29
2002,NV,9702083,9.43,7537882,9.06,11372586,7.25,29204272,8.42
2001,NV,9606869,9.08,6693111,8.45,11238936,6.56,28167293,7.86
2000,NV,9406302,7.28,6548291,6.74,11238847,4.98,27791691,6.17
1999,NV,8385628,7.13,6048821,6.66,10860728,4.77,26253307,5.93
1998,NV,7974769,7,5655038,6.5,10518385,4.57,25037075,5.76
1997,NV,7801402,6.77,5453694,6.31,10034363,4.48,24219096,5.6
1996,NV,7526332,6.9,5150392,6.61,9074624,4.9,22574029,5.95
1995,NV,6655122,7.11,4731450,6.75,8495716,5.05,20659397,6.1
1994,NV,6844708,7.16,4611836,6.97,7774863,5.45,20036271,6.37
1993,NV,6280698,6.51,4297615,6.51,7180913,5.04,18498851,5.87
1992,NV,6064333,6.19,4174994,6.33,6723203,4.92,17696252,5.69
1991,NV,5781827,5.89,3986737,6.32,6172512,4.95,16625419,5.6
1990,NV,5539534,5.7,3865557,6.19,6262803,4.7,16351894,5.38
