Event,minutes,AvgGlobalHoriz
Spring Equinox,690,654.998
Spring Equinox,725,667.6899999999999
Spring Equinox,610,610.314
Spring Equinox,755,669.332
Spring Equinox,855,439.1388
Spring Equinox,1010,61.5708
Spring Equinox,405,105.08099999999999
Spring Equinox,740,656.708
Spring Equinox,480,322.0612
Spring Equinox,1045,21.97564
Spring Equinox,910,272.5408
Spring Equinox,530,460.922
Spring Equinox,540,442.1134
Spring Equinox,640,637.016
Spring Equinox,410,128.65900000000002
Spring Equinox,395,89.57079999999999
Spring Equinox,800,603.588
Spring Equinox,870,372.8672
Spring Equinox,450,219.3058
Spring Equinox,585,563.368
Spring Equinox,350,3.00544
Spring Equinox,665,626.762
Spring Equinox,810,573.768
Spring Equinox,990,88.0848
Spring Equinox,720,681.548
Spring Equinox,1060,3.063534
Spring Equinox,575,556.658
Spring Equinox,850,424.61800000000005
Spring Equinox,940,241.6012
Spring Equinox,1025,35.3236
Spring Equinox,960,181.28160000000003
Spring Equinox,905,304.45799999999997
Spring Equinox,375,38.66834
Spring Equinox,815,561.152
Spring Equinox,840,528.066
Spring Equinox,570,558.082
Spring Equinox,620,651.856
Spring Equinox,970,139.257
Spring Equinox,995,83.9508
Spring Equinox,780,540.418
Spring Equinox,615,622.464
Spring Equinox,950,207.49120000000002
Spring Equinox,885,419.816
Spring Equinox,685,657.924
Spring Equinox,900,301.27299999999997
Spring Equinox,550,494.38
Spring Equinox,785,616.4159999999999
Spring Equinox,955,181.925
Spring Equinox,390,76.0288
Spring Equinox,735,700.342
Spring Equinox,805,548.254
Spring Equinox,1035,24.6423
Spring Equinox,765,612.4820000000001
Spring Equinox,495,370.9108
Spring Equinox,730,682.8340000000001
Spring Equinox,770,677.192
Spring Equinox,975,110.26679999999999
Spring Equinox,1055,9.805622
Spring Equinox,750,662.03
Spring Equinox,1020,41.13472
Spring Equinox,880,387.702
Spring Equinox,415,141.9314
Spring Equinox,385,62.606399999999994
Spring Equinox,545,485.12880000000007
Spring Equinox,675,642.5260000000001
Spring Equinox,455,240.9372
Spring Equinox,790,572.972
Spring Equinox,560,537.53
Spring Equinox,1000,107.1748
Spring Equinox,370,30.686799999999998
Spring Equinox,825,561.738
Spring Equinox,935,270.45439999999996
Spring Equinox,520,392.2868
Spring Equinox,890,359.95400000000006
Spring Equinox,1065,0.055142000000000024
Spring Equinox,430,163.9056
Spring Equinox,710,701.552
Spring Equinox,500,382.78999999999996
Spring Equinox,625,632.312
Spring Equinox,555,523.638
Spring Equinox,635,622.2400000000001
Spring Equinox,1015,51.66799999999999
Spring Equinox,820,550.02
Spring Equinox,700,676.798
Spring Equinox,470,289.867
Spring Equinox,915,306.2184
Spring Equinox,475,306.0644
Spring Equinox,920,287.93780000000004
Spring Equinox,645,625.5719999999999
Spring Equinox,745,683.172
Spring Equinox,1005,70.3598
Spring Equinox,680,665.1360000000001
Spring Equinox,875,356.8362
Spring Equinox,705,676.448
Spring Equinox,845,483.058
Spring Equinox,600,605.714
Spring Equinox,505,384.9116
Spring Equinox,595,606.954
Spring Equinox,655,644.2080000000001
Spring Equinox,525,430.41639999999995
Spring Equinox,985,96.75720000000001
Spring Equinox,760,666.8340000000001
Spring Equinox,485,337.1904
Spring Equinox,515,416.8414000000001
Spring Equinox,795,600.8100000000001
Spring Equinox,435,172.6696
Spring Equinox,355,8.516622
Spring Equinox,400,93.934
Spring Equinox,930,261.5488
Spring Equinox,590,594.644
Spring Equinox,895,353.046
Spring Equinox,695,666.462
Spring Equinox,945,235.362
Spring Equinox,565,550.01
Spring Equinox,650,643.5840000000001
Spring Equinox,1040,30.36888
Spring Equinox,1050,19.65186
Spring Equinox,1070,-2.3285340000000003
Spring Equinox,860,391.64459999999997
Spring Equinox,630,634.74
Spring Equinox,965,169.7764
Spring Equinox,660,636.706
Spring Equinox,865,390.07640000000004
Spring Equinox,980,101.2414
Spring Equinox,1030,30.016200000000005
Spring Equinox,535,467.94660000000005
Spring Equinox,830,551.3
Spring Equinox,440,202.8706
Spring Equinox,925,282.7118
Spring Equinox,670,630.644
Spring Equinox,420,152.49259999999998
Spring Equinox,360,12.796717999999998
Spring Equinox,775,701.364
Spring Equinox,580,570.03
Spring Equinox,460,256.8312
Spring Equinox,835,515.11
Spring Equinox,365,23.31226
Spring Equinox,715,711.0799999999999
Spring Equinox,425,161.8922
Spring Equinox,605,614.384
Spring Equinox,380,54.7152
Spring Equinox,445,226.62060000000002
Spring Equinox,490,339.39639999999997
Spring Equinox,465,268.45619999999997
Spring Equinox,510,385.9172
Spring Equinox,345,-0.6568550000000001
Summer Solstice,640,1008.8960000000001
Summer Solstice,405,380.2780000000001
Summer Solstice,620,985.1600000000001
Summer Solstice,1090,64.65299999999999
Summer Solstice,750,999.2579999999998
Summer Solstice,445,553.562
Summer Solstice,530,823.43
Summer Solstice,875,820.07
Summer Solstice,985,459.15
Summer Solstice,430,492.36800000000005
Summer Solstice,610,925.652
Summer Solstice,680,1031.234
Summer Solstice,450,567.418
Summer Solstice,705,1038.42
Summer Solstice,645,1008.7280000000001
Summer Solstice,440,534.598
Summer Solstice,715,1015.0619999999999
Summer Solstice,935,588.9379999999999
Summer Solstice,1115,26.620600000000003
Summer Solstice,655,992.1139999999999
Summer Solstice,1005,386.322
Summer Solstice,635,932.384
Summer Solstice,835,904.488
Summer Solstice,1030,274
Summer Solstice,760,1001.912
Summer Solstice,850,857.826
Summer Solstice,990,421.216
Summer Solstice,285,15.103980000000002
Summer Solstice,565,837.222
Summer Solstice,320,100.6396
Summer Solstice,605,938.2860000000001
Summer Solstice,975,475.392
Summer Solstice,1075,145.594
Summer Solstice,785,978.8800000000001
Summer Solstice,810,965.3620000000001
Summer Solstice,905,727.89
Summer Solstice,1080,118.356
Summer Solstice,420,403.47999999999996
Summer Solstice,560,894.6200000000001
Summer Solstice,855,849.698
Summer Solstice,930,596.0219999999999
Summer Solstice,570,863.0260000000001
Summer Solstice,350,192.266
Summer Solstice,280,8.379579999999999
Summer Solstice,690,1037.1779999999999
Summer Solstice,1035,229.39000000000001
Summer Solstice,535,821.356
Summer Solstice,745,1021.3199999999999
Summer Solstice,885,777.866
Summer Solstice,895,744.096
Summer Solstice,1125,11.971342000000002
Summer Solstice,805,994.174
Summer Solstice,510,768.14
Summer Solstice,395,352.47
Summer Solstice,790,948.5319999999999
Summer Solstice,960,503.742
Summer Solstice,1065,189.914
Summer Solstice,390,337.46400000000006
Summer Solstice,900,759.1540000000001
Summer Solstice,940,565.8620000000001
Summer Solstice,315,80.74680000000001
Summer Solstice,345,166.77
Summer Solstice,460,601.0580000000001
Summer Solstice,765,978.118
Summer Solstice,1095,67.4876
Summer Solstice,340,149.39600000000002
Summer Solstice,980,474.72200000000004
Summer Solstice,910,703.508
Summer Solstice,590,949.6120000000001
Summer Solstice,375,280.78599999999994
Summer Solstice,955,540.0419999999999
Summer Solstice,890,761.662
Summer Solstice,550,838.26
Summer Solstice,870,825.626
Summer Solstice,500,734.4280000000001
Summer Solstice,300,49.2634
Summer Solstice,775,976.39
Summer Solstice,1020,287.196
Summer Solstice,840,880.068
Summer Solstice,400,369.88800000000003
Summer Solstice,490,690.482
Summer Solstice,700,1039.104
Summer Solstice,1135,-2.7231639999999997
Summer Solstice,1050,232.2
Summer Solstice,470,595.7059999999999
Summer Solstice,925,602.6120000000001
Summer Solstice,410,406.02
Summer Solstice,555,869.8520000000001
Summer Solstice,755,992.0719999999999
Summer Solstice,525,799.108
Summer Solstice,330,145.702
Summer Solstice,415,370.21799999999996
Summer Solstice,670,939.024
Summer Solstice,815,934.392
Summer Solstice,1120,19.521980000000003
Summer Solstice,1000,404.41999999999996
Summer Solstice,795,927.4800000000001
Summer Solstice,800,941.5800000000002
Summer Solstice,830,932.366
Summer Solstice,1040,245.06799999999993
Summer Solstice,310,73.2524
Summer Solstice,820,923.9859999999999
Summer Solstice,1010,344.672
Summer Solstice,625,888.528
Summer Solstice,685,1033.56
Summer Solstice,995,449.10200000000003
Summer Solstice,425,436.534
Summer Solstice,725,1036.1979999999999
Summer Solstice,365,249.906
Summer Solstice,465,586.3019999999999
Summer Solstice,720,1025.692
Summer Solstice,380,292.59399999999994
Summer Solstice,435,510.5280000000001
Summer Solstice,275,3.24632
Summer Solstice,675,998.03
Summer Solstice,1055,231.42
Summer Solstice,710,1039.2
Summer Solstice,740,1024.6399999999999
Summer Solstice,915,640.7880000000001
Summer Solstice,595,937.722
Summer Solstice,965,483.9700000000001
Summer Solstice,665,1010.0519999999999
Summer Solstice,355,213.006
Summer Solstice,825,906.564
Summer Solstice,485,680.024
Summer Solstice,575,923.4680000000001
Summer Solstice,1045,258.948
Summer Solstice,630,1007.9
Summer Solstice,495,691.054
Summer Solstice,950,532.8140000000001
Summer Solstice,480,655.5719999999999
