Nevada Energy Consumption Estimates 2020
https://www.eia.gov/state/?sid=NV
10:00:38 GMT-0800 (Pacific Standard Time)
Source: Energy Information Administration, State Energy Data System
Category,Nevada Energy Consumption Estimates Trillion Btu
Coal,27.8
Natural Gas,310.7
Motor Gasoline excl. Ethanol,117.6
Distillate Fuel Oil,65.4
Jet Fuel,48.9
HGL,4.6
Residual Fuel,0
Other Petroleum,10.9
Nuclear Electric Power,0
Hydroelectric Power,16.9
Biomass,13.7
Other Renewables,95
Net Electricity Imports,0
Net Interstate Flow of Electricity,-0.3
